"公布注意有價證券資訊 (115年01月02日 至 115年01月07日 全部上市有價證券)"
"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"13","2409","友達","1","最近六個營業日累積收盤價漲幅達36.13%﹝第一款﹞。且01月07日之成交量為最近六十個營業日日平均成交量之9.76倍﹝第三款﹞。且01月07日之週轉率為11.29%﹝第四款﹞。","115.01.07","16.70     ","22.57     ",
"14","3006","晶豪科","4","最近六個營業日累積收盤價漲幅達41.74%﹝第一款﹞。","115.01.07","146.50    ","-----     ",
"14","3006","晶豪科","4","最近六個營業日累積收盤價漲幅達33.79%﹝第一款﹞。","115.01.06","144.50    ","-----     ",
"14","3006","晶豪科","4","最近六個營業日累積收盤價漲幅達38.76%﹝第一款﹞。且01月05日之週轉率為18.66%﹝第四款﹞。","115.01.05","139.00    ","-----     ",
"14","3006","晶豪科","4","最近六個營業日累積收盤價漲幅達41.35%﹝第一款﹞。且01月02日之週轉率為11.51%﹝第四款﹞。","115.01.02","129.50    ","-----     ",
"15","3008","大立光","1","六個營業日起迄兩個營業日收盤價價差達335.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","115.01.02","2585.00   ","14.85     ",
"16","3017","奇鋐","1","六個營業日起迄兩個營業日收盤價價差達155.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","115.01.07","1375.00   ","36.08     ",
"17","3092","鴻碩","2","最近六個營業日累積收盤價漲幅達36.62%﹝第一款﹞。","115.01.05","25.80     ","-----     ",
"17","3092","鴻碩","2","最近六個營業日累積收盤價漲幅達50.31%﹝第一款﹞。","115.01.02","26.80     ","-----     ",
"18","3135","凌航","3",="01月05日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.60%，且01月05日當日沖銷成交量占該日總成交量比率60.76%﹝第十三款﹞","115.01.06","89.90     ","136.21    ",
"18","3135","凌航","3","最近六個營業日累積收盤價漲幅達26.46%。且01月05日之週轉率為15.91%﹝第四款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達102.70% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達135.05% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達178.41% ﹝第二款﹞。","115.01.05","90.00     ","136.36    ",
"18","3135","凌航","3","最近六個營業日累積收盤價漲幅達35.26%﹝第一款﹞。且01月02日之週轉率為12.62%﹝第四款﹞。","115.01.02","89.00     ","134.85    ",
"19","3167","大量","1","最近六個營業日之累積週轉率為70.18%。且01月07日之週轉率為10.08%﹝第十款﹞。","115.01.07","214.00    ","34.29     ",
"20","3308","聯德","3","最近六個營業日累積收盤價漲幅達32.95%﹝第一款﹞。且01月06日之成交量為最近六十個營業日日平均成交量之5.54倍﹝第三款﹞。","115.01.06","21.60     ","43.20     ",
"20","3308","聯德","3","最近六個營業日累積收盤價漲幅達39.16%﹝第一款﹞。且01月05日之成交量為最近六十個營業日日平均成交量之13.53 倍﹝第三款﹞。","115.01.05","22.80     ","45.60     ",
"20","3308","聯德","3","最近六個營業日累積收盤價漲幅達36.00%﹝第一款﹞。且01月02日之成交量為最近六十個營業日日平均成交量之10.76 倍﹝第三款﹞。","115.01.02","22.10     ","44.20     ",
"21","3443","創意","1","六個營業日起迄兩個營業日收盤價價差達205.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","115.01.05","2320.00   ","89.92     ",
"22","3450","聯鈞","1",="01月02日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率63.24%，且01月02日當日沖銷成交量占該日總成交量比率65.50%﹝第十三款﹞","115.01.05","267.50    ","48.81     ",
"23","3481","群創","4","最近六個營業日累積收盤價漲幅達41.61%﹝第一款﹞。","115.01.07","22.15     ","19.09     ",
"23","3481","群創","4","最近六個營業日累積收盤價漲幅達50.24%﹝第一款﹞。且01月06日之成交量為最近六十個營業日日平均成交量之8.14倍﹝第三款﹞。且01月06日之週轉率為13.04%﹝第四款﹞。","115.01.06","21.85     ","18.84     ",
"23","3481","群創","4","最近六個營業日累積收盤價漲幅達42.33%﹝第一款﹞。","115.01.05","19.90     ","17.16     ",
"23","3481","群創","4","最近六個營業日累積收盤價漲幅達33.92%﹝第一款﹞。且01月02日之成交量為最近六十個營業日日平均成交量之7.54倍﹝第三款﹞。","115.01.02","18.10     ","15.60     ",
"24","3535","晶彩科","3",="01月05日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率63.68%，且01月05日當日沖銷成交量占該日總成交量比率71.97%﹝第十三款﹞","115.01.06","91.60     ","-----     ",
"24","3535","晶彩科","3",="01月02日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.87%，且01月02日當日沖銷成交量占該日總成交量比率63.44%﹝第十三款﹞","115.01.05","94.10     ","-----     ",
"24","3535","晶彩科","3","最近六個營業日之累積週轉率為50.67%。且01月02日之週轉率為13.45%﹝第十款﹞。","115.01.02","95.80     ","-----     ",
"25","3653","健策","1","六個營業日起迄兩個營業日收盤價價差達275.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","115.01.07","2485.00   ","72.83     ",
"26","4720","德淵","1","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.86倍。當日之成交量較最近六十個營業日之平均成交量放大為 25.98倍﹝第九款﹞。","115.01.06","18.60     ","22.68     ",
"27","4927","泰鼎-KY","1","最近六個營業日之累積週轉率為68.87%。且01月07日之週轉率為19.88%﹝第十款﹞。","115.01.07","37.70     ","-----     ",
"28","4967","十銓","4",="01月06日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率67.44%，且01月06日當日沖銷成交量占該日總成交量比率67.59%﹝第十三款﹞","115.01.07","201.00    ","66.12     ",
"28","4967","十銓","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達179.89% ﹝第二款﹞。","115.01.06","203.00    ","66.78     ",
"28","4967","十銓","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達167.66% ﹝第二款﹞。最近六個營業日之累積週轉率為208.99% 。且01月05日之週轉率為41.20%﹝第十款﹞。","115.01.05","194.00    ","63.82     ",
"28","4967","十銓","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達167.34% ﹝第二款﹞。","115.01.02","193.50    ","63.65     ",
"29","4989","榮科","1","最近六個營業日累積收盤價漲幅達25.55%。且01月02日之週轉率為29.26%﹝第四款﹞。","115.01.02","54.30     ","-----     ",
"30","6116","彩晶","1","最近六個營業日累積收盤價漲幅達34.66%﹝第一款﹞。","115.01.07","10.60     ","-----     ",
"31","6155","鈞寶","1","最近六個營業日之累積週轉率為52.65%。且01月06日之週轉率為20.67%﹝第十款﹞。","115.01.06","49.25     ","98.50     ",
"32","6205","詮欣","1","最近六個營業日累積收盤價漲幅達44.24%﹝第一款﹞。","115.01.02","61.00     ","30.96     ",
"33","6443","元晶","1","最近六個營業日之累積週轉率為56.06%。且01月07日之週轉率為15.72%﹝第十款﹞。","115.01.07","28.40     ","-----     ",
"34","6515","穎崴","1","六個營業日起迄兩個營業日收盤價價差達355.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞","115.01.06","3130.00   ","72.91     ",
"35","6706","惠特","2",="01月05日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率65.46%，且01月05日當日沖銷成交量占該日總成交量比率60.20%﹝第十三款﹞","115.01.06","131.50    ","-----     ",
"35","6706","惠特","2","最近六個營業日之累積週轉率為103.37% 。且01月05日之週轉率為11.97%﹝第十款﹞。","115.01.05","135.50    ","-----     ",
"36","6770","力積電","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達210.41% ﹝第二款﹞。最近六個營業日之累積週轉率為50.44%。且01月07日之週轉率為12.68%﹝第十款﹞。","115.01.07","49.20     ","-----     ",
"36","6770","力積電","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達202.21% ﹝第二款﹞。","115.01.06","47.75     ","-----     ",
"36","6770","力積電","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達175.00% ﹝第二款﹞。","115.01.05","43.45     ","-----     ",
"36","6770","力積電","4","最近九十個營業日起迄兩個營業日之收盤價漲幅達168.15% ﹝第二款﹞。","115.01.02","42.10     ","-----     ",
"37","6776","展碁國際","1","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.26倍。當日之成交量較最近六十個營業日之平均成交量放大為8.53倍﹝第九款﹞。","115.01.05","53.90     ","12.83     ",
"38","6805","富世達","1","六個營業日起迄兩個營業日收盤價價差達220.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","115.01.07","1405.00   ","53.91     ",
"39","8028","昇陽半導體","1","最近六個營業日之累積週轉率為59.38%。且01月05日之週轉率為26.14%﹝第十款﹞。","115.01.05","205.00    ","48.81     ",
"40","8105","凌巨","1","最近六個營業日累積收盤價漲幅達28.35%。且01月07日之成交量為最近六十個營業日日平均成交量之17.97 倍﹝第三款﹞。","115.01.07","15.00     ","-----     ",
"41","8110","華東","2","最近六個營業日累積收盤價漲幅達34.55%﹝第一款﹞。且01月07日之週轉率為17.13%﹝第四款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達109.77% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達220.25% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達456.29% ﹝第二款﹞。","115.01.07","75.10     ","62.58     ",
"41","8110","華東","2","最近六個營業日累積收盤價漲幅達29.71%。且01月06日之週轉率為26.91%﹝第四款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達122.42% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達205.83% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達456.06% ﹝第二款﹞。","115.01.06","73.40     ","61.17     ",
"42","8112","至上","1","最近六個營業日之累積週轉率為55.40%。且01月07日之週轉率為21.56%﹝第十款﹞。","115.01.07","84.50     ","49.42     ",
"43","8131","福懋科","2","最近九十個營業日起迄兩個營業日之收盤價漲幅達162.06% ﹝第二款﹞。","115.01.07","68.40     ","86.58     ",
"43","8131","福懋科","2","最近九十個營業日起迄兩個營業日之收盤價漲幅達160.76% ﹝第二款﹞。","115.01.06","67.80     ","85.82     ",
"44","8422","可寧衛*","2","最近六個營業日累積收盤價漲幅達25.57%。且01月05日之週轉率為10.54%﹝第四款﹞。","115.01.05","31.30     ","22.68     ",
"44","8422","可寧衛*","2","最近六個營業日累積收盤價漲幅達28.86%。且01月02日之成交量為最近六十個營業日日平均成交量之8.53倍﹝第三款﹞。且01月02日之週轉率為17.14%﹝第四款﹞。","115.01.02","32.50     ","23.55     ",
"45","8438","昶昕","4","最近六個營業日累積收盤價漲幅達37.41%﹝第一款﹞。","115.01.07","49.55     ","30.03     ",
"45","8438","昶昕","4","最近六個營業日累積收盤價漲幅達46.29%﹝第一款﹞。","115.01.06","49.00     ","29.70     ",
"45","8438","昶昕","4","最近六個營業日累積收盤價漲幅達53.32%﹝第一款﹞。且01月05日之成交量為最近六十個營業日日平均成交量之22.60 倍﹝第三款﹞。且01月05日之週轉率為13.13%﹝第四款﹞。","115.01.05","49.40     ","29.94     ",
"45","8438","昶昕","4","最近六個營業日累積收盤價漲幅達46.72%﹝第一款﹞。且01月02日之成交量為最近六十個營業日日平均成交量之9.92倍﹝第三款﹞。且01月02日元大證券商買進之比率為37.61%﹝第五款﹞。","115.01.02","46.05     ","27.91     ",
"46","8996","高力","1",="01月06日之本益比為88.18，且股價淨值比為14.16 。另當日週轉率為 7.89%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。","115.01.06","582.00    ","88.18     ",
"47","911608","明輝-DR","2","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價101.50% ﹝第八款﹞。","115.01.07","2.75      ","-----     ",
"47","911608","明輝-DR","2","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價102.27% ﹝第八款﹞。","115.01.05","2.68      ","-----     ",
"48","9938","百和","1",="01月02日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率17.67%，且01月02日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.39倍﹝第十二款﹞","115.01.05","49.70     ","11.56     ",
證券個數：48
總累計次數：82
